% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (7.135000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +8.885142719e+01 +8.885142719e+01 +1.602014272e+02 +1.602014272e+02 +3.8210e+00 -1.6810e+00 +2.7846e+00 +1.1367e+00 -4.7462e+00 -1.6106e+00 +7.4622e-01 +2.7688e+00 +4.5866e+00 -1.2883e+00 +4.3546e+00 -2.6699e+00 +2.7002e+00 -2.9926e+00 -8.3786e-01 -8.6073e-01 +2.6871e+00 +3.3330e+00 -5.1511e-01 -3.7374e+00
2 0 +8.626301952e+01 +8.626301952e+01 +1.576130195e+02 +1.576130195e+02 -7.8797e-01 +2.7525e+00 -1.1752e+00 -1.1607e+00 -1.0847e-01 -3.3355e+00 -8.7414e-01 -2.1764e+00 -2.9797e+00 -2.5055e+00 +1.7209e+00 +3.2168e+00 +4.6893e-01 +4.9594e+00 +2.1633e+00 +1.3423e+00 -6.9493e-01 +2.3936e-01 +2.8992e+00 -2.4433e+00
3 0 +7.152040501e+01 +7.152040501e+01 +1.428704050e+02 +1.428704050e+02 -1.1399e+00 -3.0799e-02 -2.4823e+00 -3.0406e+00 -2.8550e+00 +1.5856e-02 -2.9265e+00 +5.5480e-01 +2.4327e+00 -3.8053e+00 +4.3514e+00 +4.1405e-01 +8.4742e-01 -1.0928e+00 -2.5561e-01 -1.7964e+00 -9.2720e-01 +1.5937e+00 -3.7073e+00 -2.2277e-01
5 0 +5.901036706e+01 +5.901036706e+01 +1.303603671e+02 +1.303603671e+02 +3.8488e+00 -2.2623e+00 -2.8398e+00 -3.8779e+00 -2.5390e+00 -3.1731e-01 -4.0757e+00 +2.4245e+00 +2.6114e-01 +4.3183e+00 -2.2090e+00 -1.0251e+00 -1.5798e+00 +3.4702e+00 -4.9184e-02 +2.8762e+00 +1.3678e+00 +1.9157e+00 -2.3807e+00 +6.5398e-01
7 0 +5.545620907e+01 +5.545620907e+01 +1.268062091e+02 +1.268062091e+02 -2.3940e+00 -2.4771e+00 +7.1960e-01 +5.5523e-01 -3.4358e+00 +4.9803e+00 -4.2575e+00 +4.0636e+00 +4.3606e+00 +2.5302e+00 +3.9383e+00 -4.1847e+00 -3.5364e+00 +4.2779e+00 -5.6104e-01 -4.9948e+00 -3.6520e+00 -4.6561e+00 +4.8665e+00 -1.1274e+00
25 0 +4.925342233e+01 +4.925342233e+01 +1.206034223e+02 +1.206034223e+02 +3.7662e+00 +4.9884e+00 +3.3964e+00 -1.0879e-01 +3.7837e+00 +5.5772e-01 -1.5994e+00 -4.0463e+00 +4.6818e+00 -1.6829e+00 -2.4109e+00 +2.8168e+00 +3.3640e+00 -1.5921e+00 +2.4538e+00 -3.0733e+00 +3.9995e+00 +1.5822e+00 +2.4793e+00 -4.9185e+00
26 0 +4.475787354e+01 +4.475787354e+01 +1.161078735e+02 +1.161078735e+02 +2.6768e+00 +1.8257e+00 +8.1110e-01 +3.0121e+00 -1.1827e+00 +7.5903e-01 +1.0804e+00 +1.0739e+00 +3.4848e+00 +3.9492e+00 +1.9970e+00 -1.2141e-01 +2.1326e+00 -3.2411e+00 -2.4573e+00 +4.4521e+00 +4.6062e+00 -1.0814e+00 +2.6561e-02 -4.8002e+00
93 0 +4.412687070e+01 +4.412687070e+01 +1.154768707e+02 +1.154768707e+02 +1.6922e+00 +2.4991e+00 +6.4237e-01 +3.0174e+00 -1.6293e+00 +3.2191e-01 +2.1161e+00 +1.1857e+00 +1.4249e+00 +4.1658e+00 +1.3265e+00 -1.3089e+00 +2.5995e+00 -2.4171e+00 -1.8547e+00 +4.7873e+00 +5.0000e+00 +1.0790e+00 +1.1402e+00 -3.2064e+00
155 0 +4.105236770e+01 +4.105236770e+01 +1.124023677e+02 +1.124023677e+02 +1.8143e+00 +4.8069e+00 +2.8824e+00 +4.9064e+00 -3.8838e+00 +8.3664e-01 -2.5335e+00 +2.7425e+00 -6.4028e-01 +3.8368e+00 +9.5901e-01 +1.6557e-01 +2.2077e+00 -3.2061e+00 -2.2875e+00 +4.3598e+00 +5.0000e+00 -2.1724e+00 +8.4812e-01 -5.0000e+00
180 0 +4.062541517e+01 +4.062541517e+01 +1.119754152e+02 +1.119754152e+02 +2.4156e+00 +4.7524e+00 +2.9565e+00 +5.0000e+00 -3.3676e+00 +8.7342e-01 -1.3790e+00 +3.0239e+00 -2.8331e-01 +3.8467e+00 +7.7133e-01 +1.4788e-01 +2.1612e+00 -3.1661e+00 -2.4609e+00 +4.2602e+00 +5.0000e+00 -2.4843e+00 +7.0114e-01 -5.0000e+00
